Comment,Designator,Footprint,LCSC
ATmega32U4-MUR,U2,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,C112161
PRTR5V0U2X,U1,SOT-143B,C12333
16MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
0.1uF,"C2,C3,C4,C5",C_0603_1608Metric,C14663
500mA,F1,Fuse_1206_3216Metric,C151162
1uF,C1,C_0603_1608Metric,C15849
22pF,"C8,C9",C_0603_1608Metric,C1653
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12-Assembly,C167321
1k,"R11,R12,R13",R_0805_2012Metric,C17513
22,"R6,R7",R_0805_2012Metric,C17561
470,R21,R_0805_2012Metric,C17710
10uF,C6,C_0603_1608Metric,C19702
1M,R5,R_0603_1608Metric,C22935
5.1k,"R2,R3",R_0603_1608Metric,C23186
10k,"R1,R4",R_0603_1608Metric,C25804
MX-NoLED,"MX0-0,MX0-1,MX0-2,MX0-3,MX0-4,MX0-5,MX1-0,MX1-1,MX1-10,MX1-11,MX1-2,MX1-3,MX1-4,MX1-5,MX1-6,MX1-7,MX1-8,MX1-9,MX2-0,MX2-1,MX2-10,MX2-11,MX2-2,MX2-3,MX2-4,MX2-5,MX2-6,MX2-7,MX2-8,MX2-9,MX3-0,MX3-1,MX3-10,MX3-11,MX3-2,MX3-3,MX3-4,MX3-5,MX3-6,MX3-7,MX3-8,MX3-9,MX4-0,MX4-1,MX4-10,MX4-11,MX4-2,MX4-4+Minisub1,MX4-5+Jetvan1,MX4-6+Minisub1,MX4-8+Minisub1,MX4-9",MXOnly-1U-Hotswap,C2803348
4.7nF,C7,C_0603_1608Metric,C53987
D,"D0-0,D0-1,D0-2,D0-3,D0-4,D0-5,D1-0,D1-1,D1-10,D1-11,D1-2,D1-3,D1-4,D1-5,D1-6,D1-7,D1-8,D1-9,D2-0,D2-1,D2-10,D2-11,D2-2,D2-3,D2-4,D2-5,D2-6,D2-7,D2-8,D2-9,D3-0,D3-1,D3-10,D3-11,D3-2,D3-3,D3-4,D3-5,D3-6,D3-7,D3-8,D3-9,D4-0,D4-1,D4-10,D4-11,D4-2,D4-4,D4-5,D4-6,D4-8,D4-9",D_SOD-123,C81598
WS2812B,RGB1,WS2812B,
WS2812B,RGB3,WS2812B,
RGB Breakout,J1,PinHeader_1x03_P2.54mm_Vertical,
LED,LED1,LED_D3.0mm,
LED,LED2,LED_D3.0mm,
Hull LED Breakout,J2,PinHeader_1x03_P2.54mm_Vertical,
WS2812B,RGB2,WS2812B,
LED,LED3,LED_D3.0mm,
Reset_Pins,Reset1,PinHeader_1x02_P2.54mm_Vertical,
