Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,136.9125,-101.0,-90.0,bottom
C2,0.1uF,C_0603_1608Metric,139.0,-100.25,180.0,bottom
C3,0.1uF,C_0603_1608Metric,131.25,-110.35,180.0,bottom
C4,0.1uF,C_0603_1608Metric,139.95,-111.8,0.0,bottom
C5,0.1uF,C_0603_1608Metric,131.25,-103.55,180.0,bottom
C6,10uF,C_0603_1608Metric,133.6,-101.7,180.0,bottom
C7,4.7nF,C_0603_1608Metric,46.5,-31.5,-90.0,bottom
C8,22pF,C_0603_1608Metric,149.35,-105.7,-90.0,bottom
C9,22pF,C_0603_1608Metric,146.925,-102.25,0.0,bottom
D0-0,D,D_SOD-123,38.67,-46.101,180.0,bottom
D0-1,D,D_SOD-123,60.59,-46.1,0.0,bottom
D0-2,D,D_SOD-123,88.25,-39.75,90.0,bottom
D0-3,D,D_SOD-123,107.25,-39.75,90.0,bottom
D0-4,D,D_SOD-123,126.3,-39.75,90.0,bottom
D0-5,D,D_SOD-123,145.35,-39.75,90.0,bottom
D1-0,D,D_SOD-123,40.6,-58.75,90.0,bottom
D1-1,D,D_SOD-123,59.65,-58.75,90.0,bottom
D1-2,D,D_SOD-123,78.7,-58.75,90.0,bottom
D1-3,D,D_SOD-123,97.75,-58.75,90.0,bottom
D1-4,D,D_SOD-123,116.8,-58.75,90.0,bottom
D1-5,D,D_SOD-123,135.85,-58.75,90.0,bottom
D1-6,D,D_SOD-123,154.9,-58.75,90.0,bottom
D1-7,D,D_SOD-123,173.95,-58.75,90.0,bottom
D1-8,D,D_SOD-123,193.0,-58.75,90.0,bottom
D1-9,D,D_SOD-123,212.05,-58.75,90.0,bottom
D1-10,D,D_SOD-123,231.1,-58.75,90.0,bottom
D1-11,D,D_SOD-123,257.4125,-58.75,90.0,bottom
D2-0,D,D_SOD-123,43.0,-77.8,90.0,bottom
D2-1,D,D_SOD-123,64.4,-77.8,90.0,bottom
D2-2,D,D_SOD-123,83.45,-77.8,90.0,bottom
D2-3,D,D_SOD-123,102.5,-77.8,90.0,bottom
D2-4,D,D_SOD-123,121.55,-77.8,90.0,bottom
D2-5,D,D_SOD-123,140.6,-77.8,90.0,bottom
D2-6,D,D_SOD-123,159.65,-77.8,90.0,bottom
D2-7,D,D_SOD-123,178.7,-77.8,90.0,bottom
D2-8,D,D_SOD-123,197.75,-77.8,90.0,bottom
D2-9,D,D_SOD-123,216.8,-77.8,90.0,bottom
D2-10,D,D_SOD-123,235.85,-77.8,90.0,bottom
D2-11,D,D_SOD-123,259.75,-77.8,90.0,bottom
D3-0,D,D_SOD-123,47.8,-97.0,90.0,bottom
D3-1,D,D_SOD-123,74.0,-97.0,90.0,bottom
D3-2,D,D_SOD-123,93.05,-97.0,90.0,bottom
D3-3,D,D_SOD-123,112.1,-97.0,90.0,bottom
D3-4,D,D_SOD-123,131.15,-97.0,90.0,bottom
D3-5,D,D_SOD-123,150.2,-97.0,90.0,bottom
D3-6,D,D_SOD-123,169.25,-97.0,90.0,bottom
D3-7,D,D_SOD-123,188.3,-97.0,90.0,bottom
D3-8,D,D_SOD-123,207.35,-97.0,90.0,bottom
D3-9,D,D_SOD-123,226.4,-97.0,90.0,bottom
D3-10,D,D_SOD-123,245.45,-97.0,90.0,bottom
D3-11,D,D_SOD-123,264.5,-97.0,90.0,bottom
D4-0,D,D_SOD-123,43.0,-116.05,90.0,bottom
D4-1,D,D_SOD-123,64.4,-116.05,90.0,bottom
D4-2,D,D_SOD-123,86.0,-116.05,90.0,bottom
D4-4,D,D_SOD-123,124.1,-116.05,90.0,bottom
D4-5,D,D_SOD-123,153.125,-116.05,90.0,bottom
D4-6,D,D_SOD-123,171.75,-116.05,90.0,bottom
D4-8,D,D_SOD-123,205.0,-116.05,90.0,bottom
D4-9,D,D_SOD-123,226.4,-116.05,90.0,bottom
D4-10,D,D_SOD-123,245.45,-116.05,90.0,bottom
D4-11,D,D_SOD-123,264.5,-116.05,90.0,bottom
F1,500mA,Fuse_1206_3216Metric,53.324,-43.18,-90.0,bottom
J1,RGB Breakout,PinHeader_1x03_P2.54mm_Vertical,252.4125,-81.65,0.0,top
J2,Hull LED Breakout,PinHeader_1x03_P2.54mm_Vertical,41.1125,-66.675,-90.0,top
LED1,LED,LED_D3.0mm,26.543,-31.717,0.0,top
LED2,LED,LED_D3.0mm,26.543,-37.242,0.0,top
LED3,LED,LED_D3.0mm,26.543,-42.767,0.0,top
MX0-0,MX-NoLED,MXOnly-1U-Hotswap,42.8625,-38.1,180.0,top
MX0-1,MX-NoLED,MXOnly-1U-Hotswap,61.9125,-38.1,180.0,top
MX0-2,MX-NoLED,MXOnly-1U-Hotswap,80.9625,-38.1,0.0,top
MX0-3,MX-NoLED,MXOnly-1U-Hotswap,100.0125,-38.1,0.0,top
MX0-4,MX-NoLED,MXOnly-1U-Hotswap,119.0625,-38.1,0.0,top
MX0-5,MX-NoLED,MXOnly-1U-Hotswap,138.1125,-38.1,0.0,top
MX1-0,MX-NoLED,MXOnly-1U-Hotswap,33.3375,-57.15,0.0,top
MX1-1,MX-NoLED,MXOnly-1U-Hotswap,52.3875,-57.15,0.0,top
MX1-2,MX-NoLED,MXOnly-1U-Hotswap,71.4375,-57.15,0.0,top
MX1-3,MX-NoLED,MXOnly-1U-Hotswap,90.4875,-57.15,0.0,top
MX1-4,MX-NoLED,MXOnly-1U-Hotswap,109.5375,-57.15,0.0,top
MX1-5,MX-NoLED,MXOnly-1U-Hotswap,128.5875,-57.15,0.0,top
MX1-6,MX-NoLED,MXOnly-1U-Hotswap,147.6375,-57.15,0.0,top
