Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,14.83875,-28.2125,0.0,bottom
C2,100nF,C_0402_1005Metric,21.375625,-25.33375,90.0,bottom
C3,100nF,C_0402_1005Metric,18.565625,-40.64,0.0,bottom
C4,2.2uF,C_0402_1005Metric,38.1,25.235,90.0,bottom
C5,1uF,C_0402_1005Metric,14.83875,-29.2125,0.0,bottom
C6,100nF,C_0402_1005Metric,19.375625,-25.33375,90.0,bottom
C7,100nF,C_0402_1005Metric,20.375625,-25.33375,90.0,bottom
C8,100nF,C_0402_1005Metric,14.83875,-30.2125,0.0,bottom
C9,100nF,C_0402_1005Metric,14.83875,-31.2125,0.0,bottom
C10,100nF,C_0402_1005Metric,26.9125,-31.2125,180.0,bottom
C11,100nF,C_0402_1005Metric,14.83875,-35.65,0.0,bottom
C12,100nF,C_0402_1005Metric,26.9125,-35.65,180.0,bottom
C13,100nF,C_0402_1005Metric,18.565625,-41.64,0.0,bottom
C14,1uF,C_0402_1005Metric,32.6,25.235,270.0,bottom
C15,1uF,C_0402_1005Metric,37.1,25.235,90.0,bottom
C16,100nF,C_0402_1005Metric,22.375625,-25.33375,90.0,bottom
C17,22pF,C_0402_1005Metric,23.488173,-40.811192,45.0,bottom
C18,22pF,C_0402_1005Metric,21.861827,-45.548808,45.0,bottom
C19,4.7nF,C_0402_1005Metric,26.905,25.235,270.0,bottom
C20,100nF,C_0402_1005Metric,-1.0,9.377625,270.0,bottom
C21,100nF,C_0402_1005Metric,-1.0,25.235,90.0,bottom
C22,100nF,C_0402_1005Metric,-1.0,19.6025,90.0,bottom
C23,100nF,C_0402_1005Metric,-1.0,13.97,90.0,bottom
D1,D_Small,D_SOD-123,9.525,9.377625,180.0,bottom
D2,D_Small,D_SOD-123,28.575,9.377625,180.0,bottom
D3,D_Small,D_SOD-123,50.725,17.4,90.0,bottom
D4,D_Small,D_SOD-123,69.775,17.4,90.0,bottom
D5,D_Small,D_SOD-123,88.825,17.4,90.0,bottom
D6,D_Small,D_SOD-123,107.875,17.4,90.0,bottom
D8,D_Small,D_SOD-123,3.1,-1.65,90.0,bottom
D9,D_Small,D_SOD-123,22.15,-1.65,90.0,bottom
D10,D_Small,D_SOD-123,41.2,-1.65,90.0,bottom
D11,D_Small,D_SOD-123,60.25,-1.65,90.0,bottom
D12,D_Small,D_SOD-123,79.3,-1.65,90.0,bottom
D13,D_Small,D_SOD-123,98.35,-1.65,90.0,bottom
D14,D_Small,D_SOD-123,117.4,-1.65,90.0,bottom
D15,D_Small,D_SOD-123,136.45,-1.65,90.0,bottom
D16,D_Small,D_SOD-123,155.5,-1.65,90.0,bottom
D17,D_Small,D_SOD-123,174.55,-1.65,90.0,bottom
D18,D_Small,D_SOD-123,193.6,-1.65,90.0,bottom
D19,D_Small,D_SOD-123,219.79375,-1.65,90.0,bottom
D20,D_Small,D_SOD-123,5.48125,-20.7,90.0,bottom
D21,D_Small,D_SOD-123,26.9125,-20.7,90.0,bottom
D22,D_Small,D_SOD-123,45.9625,-20.7,90.0,bottom
D23,D_Small,D_SOD-123,65.0125,-20.7,90.0,bottom
D24,D_Small,D_SOD-123,84.0625,-20.7,90.0,bottom
D25,D_Small,D_SOD-123,103.1125,-20.7,90.0,bottom
D26,D_Small,D_SOD-123,122.1625,-20.7,90.0,bottom
D27,D_Small,D_SOD-123,141.2125,-20.7,90.0,bottom
D28,D_Small,D_SOD-123,160.2625,-20.7,90.0,bottom
D29,D_Small,D_SOD-123,179.3125,-20.7,90.0,bottom
D30,D_Small,D_SOD-123,198.3625,-20.7,90.0,bottom
D31,D_Small,D_SOD-123,222.175,-20.7,90.0,bottom
D32,D_Small,D_SOD-123,7.14375,-47.772375,180.0,bottom
D33,D_Small,D_SOD-123,33.3375,-47.772375,0.0,bottom
D34,D_Small,D_SOD-123,55.4875,-39.75,90.0,bottom
D35,D_Small,D_SOD-123,74.5375,-39.75,90.0,bottom
D36,D_Small,D_SOD-123,93.5875,-39.75,90.0,bottom
D37,D_Small,D_SOD-123,112.6375,-39.75,90.0,bottom
D38,D_Small,D_SOD-123,131.6875,-39.75,90.0,bottom
D39,D_Small,D_SOD-123,150.7375,-39.75,90.0,bottom
D40,D_Small,D_SOD-123,169.7875,-39.75,90.0,bottom
D41,D_Small,D_SOD-123,188.8375,-39.75,90.0,bottom
D42,D_Small,D_SOD-123,207.8875,-39.75,90.0,bottom
D43,D_Small,D_SOD-123,226.9375,-39.75,90.0,bottom
D44,D_Small,D_SOD-123,5.48125,-58.8,90.0,bottom
D45,D_Small,D_SOD-123,26.9125,-58.8,90.0,bottom
D46,D_Small,D_SOD-123,48.34375,-58.8,90.0,bottom
D47,D_Small,D_SOD-123,86.44375,-58.8,90.0,bottom
D48,D_Small,D_SOD-123,119.78125,-58.8,90.0,bottom
D49,D_Small,D_SOD-123,167.40625,-58.8,90.0,bottom
D50,D_Small,D_SOD-123,188.8375,-58.8,90.0,bottom
D51,D_Small,D_SOD-123,207.8875,-58.8,90.0,bottom
D52,D_Small,D_SOD-123,226.9375,-58.8,90.0,bottom
F1,500mA,Fuse_1206_3216Metric,28.575,25.235,270.0,bottom
LED1,SK6812MINI-E,LED_6028R,-5.5,13.97,180.0,bottom
LED2,SK6812MINI-E,LED_6028R,-5.5,19.6025,180.0,bottom
LED3,SK6812MINI-E,LED_6028R,-5.5,25.235,180.0,bottom
MX0-1,~,SW_MX_HS_1u,9.525,19.05,0.0,bottom
MX0-2,~,SW_MX_HS_1u,28.575,19.05,0.0,bottom
MX0-3,~,SW_MX_HS_1u,47.625,19.05,180.0,bottom
MX0-4,~,SW_MX_HS_1u,66.675,19.05,180.0,bottom
MX0-5,~,SW_MX_HS_1u,85.725,19.05,180.0,bottom
MX0-6,~,SW_MX_HS_1u,104.775,19.05,180.0,bottom
MX1-0,~,SW_MX_HS_1u,0.0,-0.0,180.0,bottom
MX1-1,~,SW_MX_HS_1u,19.05,-0.0,180.0,bottom
MX1-2,~,SW_MX_HS_1u,38.1,-0.0,180.0,bottom
MX1-3,~,SW_MX_HS_1u,57.15,-0.0,180.0,bottom
MX1-4,~,SW_MX_HS_1u,76.2,-0.0,180.0,bottom
MX1-5,~,SW_MX_HS_1u,95.25,-0.0,180.0,bottom
MX1-6,~,SW_MX_HS_1u,114.3,-0.0,180.0,bottom
MX1-7,~,SW_MX_HS_1u,133.35,-0.0,180.0,bottom
MX1-8,~,SW_MX_HS_1u,152.4,-0.0,180.0,bottom
MX1-9,~,SW_MX_HS_1u,171.45,-0.0,180.0,bottom
MX1-10,~,SW_MX_HS_1u,190.5,-0.0,180.0,bottom
MX1-11,~,SW_MX_HS_1.75u,216.69375,-0.0,180.0,bottom
MX2-0,~,SW_MX_HS_1.25u,2.38125,-19.05,180.0,bottom
MX2-1,~,SW_MX_HS_1u,23.8125,-19.05,180.0,bottom
MX2-2,~,SW_MX_HS_1u,42.8625,-19.05,180.0,bottom
MX2-3,~,SW_MX_HS_1u,61.9125,-19.05,180.0,bottom
MX2-4,~,SW_MX_HS_1u,80.9625,-19.05,180.0,bottom
MX2-5,~,SW_MX_HS_1u,100.0125,-19.05,180.0,bottom
MX2-6,~,SW_MX_HS_1u,119.0625,-19.05,180.0,bottom
MX2-7,~,SW_MX_HS_1u,138.1125,-19.05,180.0,bottom
MX2-8,~,SW_MX_HS_1u,157.1625,-19.05,180.0,bottom
MX2-9,~,SW_MX_HS_1u,176.2125,-19.05,180.0,bottom
MX2-10,~,SW_MX_HS_1u,195.2625,-19.05,180.0,bottom
MX2-11,~,SW_MX_HS_1.5u,219.075,-19.05,180.0,bottom
MX3-0,~,SW_MX_HS_1.75u,7.14375,-38.1,0.0,bottom
MX3-1,~,SW_MX_HS_1u,33.3375,-38.1,0.0,bottom
MX3-2,~,SW_MX_HS_1u,52.3875,-38.1,180.0,bottom
MX3-3,~,SW_MX_HS_1u,71.4375,-38.1,180.0,bottom
MX3-4,~,SW_MX_HS_1u,90.4875,-38.1,180.0,bottom
MX3-5,~,SW_MX_HS_1u,109.5375,-38.1,180.0,bottom
MX3-6,~,SW_MX_HS_1u,128.5875,-38.1,180.0,bottom
MX3-7,~,SW_MX_HS_1u,147.6375,-38.1,180.0,bottom
MX3-8,~,SW_MX_HS_1u,166.6875,-38.1,180.0,bottom
